Stock,merged,Total_true,Total_false,UpTrend_Per,Up_True,Up_false,DownTrend_Per,down_True,down_False
3IINFOLTD.csv,0.0,0,3,-1,-1,-1,0.0,0,3
3MINDIA.csv,38.46,5,8,0.0,0,6,71.43,5,2
AARTIDRUGS.csv,66.67,8,4,-1,-1,-1,66.67,8,4
AARTIIND.csv,50.0,4,4,40.0,2,3,66.67,2,1
AAVAS.csv,20.0,2,8,40.0,2,3,0.0,0,5
ABB.csv,23.08,3,10,30.0,3,7,0.0,0,3
ABBOTINDIA.csv,22.22,4,14,50.0,1,1,18.75,3,13
ABCAPITAL.csv,41.67,5,7,0.0,0,4,62.5,5,3
ACC.csv,16.67,1,5,20.0,1,4,0.0,0,1
ACCELYA.csv,22.22,2,7,-1,-1,-1,22.22,2,7
ACE.csv,0.0,0,7,0.0,0,6,0.0,0,1
ADANIENT.csv,25.0,3,9,25.0,3,9,-1.0,-1,-1
ADANIGREEN.csv,72.73,8,3,66.67,6,3,100.0,2,0
ADANIPORTS.csv,40.0,2,3,50.0,2,2,0.0,0,1
ADANIPOWER.csv,50.0,2,2,66.67,2,1,0.0,0,1
ADANITRANS.csv,100.0,3,0,100.0,2,0,100.0,1,0
ALEMBICLTD.csv,42.86,3,4,0.0,0,2,60.0,3,2
ALKEM.csv,30.0,3,7,75.0,3,1,0.0,0,6
ALLCARGO.csv,30.0,3,7,50.0,1,1,25.0,2,6
AMARAJABAT.csv,31.25,5,11,-1,-1,-1,31.25,5,11
AMBER.csv,0.0,0,9,0.0,0,5,0.0,0,4
AMBUJACEM.csv,50.0,3,3,60.0,3,2,0.0,0,1
ANANTRAJ.csv,54.55,6,5,37.5,3,5,100.0,3,0
ANUP.csv,71.43,5,2,100.0,5,0,0.0,0,2
APEX.csv,0.0,0,4,0.0,0,1,0.0,0,3
APLAPOLLO.csv,12.5,1,7,14.29,1,6,0.0,0,1
APLLTD.csv,0.0,0,2,0.0,0,1,0.0,0,1
APOLLOHOSP.csv,69.23,9,4,90.0,9,1,0.0,0,3
APOLLOPIPE.csv,18.75,3,13,27.27,3,8,0.0,0,5
APOLLOTYRE.csv,36.36,4,7,57.14,4,3,0.0,0,4
APTECHT.csv,33.33,2,4,40.0,2,3,0.0,0,1
ARVIND.csv,20.0,1,4,25.0,1,3,0.0,0,1
ASAHIINDIA.csv,75.0,12,4,72.73,8,3,80.0,4,1
ASHIANA.csv,27.78,5,13,25.0,2,6,30.0,3,7
ASHOKA.csv,16.67,1,5,0.0,0,2,25.0,1,3
ASHOKLEY.csv,30.0,3,7,37.5,3,5,0.0,0,2
ASIANPAINT.csv,28.57,4,10,20.0,1,4,33.33,3,6
ASIANTILES.csv,23.08,3,10,0.0,0,3,30.0,3,7
ASTEC.csv,0.0,0,11,0.0,0,8,0.0,0,3
ASTRAL.csv,0.0,0,9,0.0,0,4,0.0,0,5
ASTRAMICRO.csv,50.0,3,3,0.0,0,2,75.0,3,1
ATGL.csv,0.0,0,4,0.0,0,4,-1.0,-1,-1
ATUL.csv,12.5,1,7,14.29,1,6,0.0,0,1
AUBANK.csv,28.57,2,5,40.0,2,3,0.0,0,2
AUROPHARMA.csv,63.64,7,4,25.0,1,3,85.71,6,1
AUTOAXLES.csv,50.0,8,8,53.33,8,7,0.0,0,1
AXISBANK.csv,66.67,4,2,66.67,4,2,-1.0,-1,-1
BAJAJ-AUTO.csv,36.36,4,7,50.0,4,4,0.0,0,3
BAJAJELEC.csv,37.5,3,5,50.0,3,3,0.0,0,2
BAJAJFINSV.csv,60.0,6,4,60.0,3,2,60.0,3,2
BAJAJHLDNG.csv,75.0,6,2,85.71,6,1,0.0,0,1
BAJFINANCE.csv,44.44,4,5,16.67,1,5,100.0,3,0
BALAJITELE.csv,23.53,4,13,0.0,0,4,30.77,4,9
BALKRISIND.csv,50.0,2,2,33.33,1,2,100.0,1,0
BANDHANBNK.csv,0.0,0,11,0.0,0,5,0.0,0,6
BANKBARODA.csv,45.45,5,6,55.56,5,4,0.0,0,2
BANKINDIA.csv,54.55,6,5,50.0,2,2,57.14,4,3
BARBEQUE.csv,62.5,5,3,50.0,2,2,75.0,3,1
BASF.csv,0.0,0,4,0.0,0,3,0.0,0,1
BATAINDIA.csv,45.45,5,6,44.44,4,5,50.0,1,1
BAYERCROP.csv,0.0,0,8,0.0,0,2,0.0,0,6
BBTC.csv,54.55,6,5,0.0,0,1,60.0,6,4
BDL.csv,53.85,7,6,53.85,7,6,-1.0,-1,-1
BEL.csv,64.0,16,9,57.89,11,8,83.33,5,1
BEML.csv,30.77,4,9,44.44,4,5,0.0,0,4
BERGEPAINT.csv,8.33,1,11,0.0,0,1,9.09,1,10
BHARATFORG.csv,0.0,0,5,0.0,0,5,-1.0,-1,-1
BHARTIARTL.csv,28.57,2,5,50.0,1,1,20.0,1,4
BIOCON.csv,69.23,9,4,-1,-1,-1,69.23,9,4
BLISSGVS.csv,0.0,0,12,0.0,0,4,0.0,0,8
BLS.csv,36.36,4,7,28.57,2,5,50.0,2,2
BLUEDART.csv,43.75,7,9,50.0,7,7,0.0,0,2
BLUESTARCO.csv,25.0,2,6,66.67,2,1,0.0,0,5
BODALCHEM.csv,73.33,11,4,66.67,4,2,77.78,7,2
BORORENEW.csv,55.56,5,4,0.0,0,3,83.33,5,1
BOSCHLTD.csv,25.0,2,6,16.67,1,5,50.0,1,1
BPCL.csv,21.43,3,11,75.0,3,1,0.0,0,10
BRITANNIA.csv,0.0,0,19,0.0,0,9,0.0,0,10
BSE.csv,63.64,7,4,57.14,4,3,75.0,3,1
CANBK.csv,0.0,0,14,0.0,0,14,-1.0,-1,-1
CANTABIL.csv,0.0,0,2,0.0,0,2,-1.0,-1,-1
CAPACITE.csv,8.33,1,11,12.5,1,7,0.0,0,4
CARBORUNIV.csv,40.0,4,6,33.33,2,4,50.0,2,2
CARERATING.csv,50.0,4,4,66.67,2,1,40.0,2,3
CDSL.csv,0.0,0,5,0.0,0,3,0.0,0,2
CEATLTD.csv,72.73,8,3,40.0,2,3,100.0,6,0
CENTURYPLY.csv,27.27,3,8,37.5,3,5,0.0,0,3
CERA.csv,27.27,3,8,33.33,1,2,25.0,2,6
CGPOWER.csv,16.67,1,5,16.67,1,5,-1.0,-1,-1
CHALET.csv,45.45,5,6,55.56,5,4,0.0,0,2
CHAMBLFERT.csv,42.86,3,4,33.33,2,4,100.0,1,0
CHENNPETRO.csv,0.0,0,10,0.0,0,4,0.0,0,6
CHOLAFIN.csv,12.5,2,14,0.0,0,8,25.0,2,6
CIGNITITEC.csv,80.0,4,1,50.0,1,1,100.0,3,0
CIPLA.csv,0.0,0,4,0.0,0,3,0.0,0,1
COALINDIA.csv,44.44,4,5,44.44,4,5,-1.0,-1,-1
COFFEEDAY.csv,0.0,0,4,-1,-1,-1,0.0,0,4
COFORGE.csv,54.55,6,5,75.0,6,2,0.0,0,3
COLPAL.csv,21.43,3,11,28.57,2,5,14.29,1,6
CONCOR.csv,14.29,1,6,33.33,1,2,0.0,0,4
CONFIPET.csv,41.67,5,7,0.0,0,3,55.56,5,4
COROMANDEL.csv,16.67,3,15,16.67,2,10,16.67,1,5
CRISIL.csv,0.0,0,10,0.0,0,6,0.0,0,4
CSBBANK.csv,27.78,5,13,40.0,2,3,23.08,3,10
CUB.csv,22.22,2,7,25.0,1,3,20.0,1,4
CUMMINSIND.csv,9.09,1,10,10.0,1,9,0.0,0,1
CYIENT.csv,52.63,10,9,66.67,10,5,0.0,0,4
DABUR.csv,53.33,8,7,20.0,1,4,70.0,7,3
DCMSHRIRAM.csv,22.22,2,7,50.0,2,2,0.0,0,5
DEEPAKNTR.csv,40.0,6,9,85.71,6,1,0.0,0,8
DELTACORP.csv,50.0,6,6,28.57,2,5,80.0,4,1
DEVYANI.csv,0.0,0,3,0.0,0,3,-1.0,-1,-1
DHAMPURSUG.csv,35.71,5,9,62.5,5,3,0.0,0,6
DISHTV.csv,16.67,2,10,0.0,0,2,20.0,2,8
DIVISLAB.csv,33.33,2,4,-1,-1,-1,33.33,2,4
DIXON.csv,46.15,6,7,50.0,3,3,42.86,3,4
DLF.csv,69.23,9,4,100.0,6,0,42.86,3,4
DMART.csv,47.62,10,11,12.5,1,7,69.23,9,4
DRREDDY.csv,44.44,4,5,66.67,4,2,0.0,0,3
EASEMYTRIP.csv,58.33,7,5,37.5,3,5,100.0,4,0
EBIXFOREX.csv,-1.0,-1,-1,-1,-1,-1,-1.0,-1,-1
EDELWEISS.csv,50.0,8,8,37.5,3,5,62.5,5,3
EICHERMOT.csv,33.33,4,8,50.0,4,4,0.0,0,4
EIDPARRY.csv,37.5,3,5,33.33,1,2,40.0,2,3
EIHOTEL.csv,41.67,5,7,33.33,2,4,50.0,3,3
ELECTCAST.csv,87.5,7,1,83.33,5,1,100.0,2,0
ELGIEQUIP.csv,44.44,4,5,57.14,4,3,0.0,0,2
EMAMILTD.csv,52.17,12,11,46.15,6,7,60.0,6,4
ENDURANCE.csv,15.0,3,17,17.65,3,14,0.0,0,3
ENGINERSIN.csv,28.57,2,5,66.67,2,1,0.0,0,4
ESABINDIA.csv,41.67,5,7,45.45,5,6,0.0,0,1
ESCORTS.csv,30.43,7,16,14.29,2,12,55.56,5,4
EXCELINDUS.csv,43.75,7,9,100.0,2,0,35.71,5,9
EXIDEIND.csv,14.29,1,6,25.0,1,3,0.0,0,3
FDC.csv,23.08,3,10,16.67,1,5,28.57,2,5
FEDERALBNK.csv,40.0,4,6,57.14,4,3,0.0,0,3
FILATEX.csv,50.0,5,5,40.0,2,3,60.0,3,2
FINCABLES.csv,58.33,7,5,57.14,4,3,60.0,3,2
FINEORG.csv,41.67,5,7,44.44,4,5,33.33,1,2
FINPIPE.csv,0.0,0,4,0.0,0,3,0.0,0,1
FLUOROCHEM.csv,47.06,8,9,53.33,8,7,0.0,0,2
FMGOETZE.csv,55.56,10,8,66.67,6,3,44.44,4,5
FORCEMOT.csv,11.11,1,8,0.0,0,4,20.0,1,4
FORTIS.csv,40.0,2,3,40.0,2,3,-1.0,-1,-1
FOSECOIND.csv,27.27,3,8,42.86,3,4,0.0,0,4
FRETAIL.csv,50.0,1,1,50.0,1,1,-1.0,-1,-1
FSC.csv,0.0,0,5,-1,-1,-1,0.0,0,5
GABRIEL.csv,71.43,10,4,90.0,9,1,25.0,1,3
GAIL.csv,20.0,1,4,33.33,1,2,0.0,0,2
GALAXYSURF.csv,50.0,6,6,71.43,5,2,20.0,1,4
GALLISPAT.csv,25.0,1,3,25.0,1,3,-1.0,-1,-1
GATI.csv,70.0,7,3,75.0,6,2,50.0,1,1
GDL.csv,33.33,1,2,33.33,1,2,-1.0,-1,-1
GEOJITFSL.csv,75.0,3,1,100.0,1,0,66.67,2,1
GEPIL.csv,12.5,1,7,0.0,0,1,14.29,1,6
GICRE.csv,60.0,6,4,42.86,3,4,100.0,3,0
GLAND.csv,40.0,6,9,33.33,2,4,44.44,4,5
GLENMARK.csv,17.39,4,19,0.0,0,5,22.22,4,14
GMDCLTD.csv,12.5,1,7,50.0,1,1,0.0,0,6
GMRINFRA.csv,22.22,2,7,0.0,0,6,66.67,2,1
GODREJCP.csv,0.0,0,13,0.0,0,9,0.0,0,4
GODREJPROP.csv,46.15,6,7,50.0,2,2,44.44,4,5
GPIL.csv,33.33,4,8,66.67,4,2,0.0,0,6
GRAPHITE.csv,66.67,4,2,-1,-1,-1,66.67,4,2
GRASIM.csv,41.67,5,7,44.44,4,5,33.33,1,2
GREENLAM.csv,53.85,7,6,100.0,7,0,0.0,0,6
GREENPANEL.csv,36.36,4,7,28.57,2,5,50.0,2,2
GREENPLY.csv,0.0,0,12,0.0,0,7,0.0,0,5
GRINDWELL.csv,53.85,7,6,58.33,7,5,0.0,0,1
GTLINFRA.csv,25.0,1,3,0.0,0,3,100.0,1,0
GTPL.csv,71.43,10,4,66.67,2,1,72.73,8,3
GUJALKALI.csv,54.55,6,5,60.0,6,4,0.0,0,1
GUJGASLTD.csv,10.0,1,9,20.0,1,4,0.0,0,5
GULFOILLUB.csv,6.25,1,15,0.0,0,4,8.33,1,11
HAL.csv,69.23,9,4,69.23,9,4,-1.0,-1,-1
HAPPSTMNDS.csv,33.33,1,2,-1,-1,-1,33.33,1,2
HATHWAY.csv,0.0,0,9,-1,-1,-1,0.0,0,9
HATSUN.csv,20.0,2,8,0.0,0,3,28.57,2,5
HAVELLS.csv,27.27,3,8,0.0,0,5,50.0,3,3
HBLPOWER.csv,54.55,6,5,54.55,6,5,-1.0,-1,-1
HCC.csv,38.46,5,8,55.56,5,4,0.0,0,4
HCLTECH.csv,9.09,1,10,14.29,1,6,0.0,0,4
HDFC.csv,25.0,3,9,28.57,2,5,20.0,1,4
HDFCBANK.csv,25.0,1,3,0.0,0,3,100.0,1,0
HDFCLIFE.csv,50.0,6,6,50.0,3,3,50.0,3,3
HEG.csv,40.0,2,3,0.0,0,2,66.67,2,1
HEIDELBERG.csv,50.0,7,7,50.0,4,4,50.0,3,3
HEROMOTOCO.csv,0.0,0,10,0.0,0,4,0.0,0,6
HESTERBIO.csv,33.33,1,2,0.0,0,1,50.0,1,1
HGS.csv,42.86,3,4,66.67,2,1,25.0,1,3
HIKAL.csv,0.0,0,4,0.0,0,2,0.0,0,2
HIL.csv,60.0,6,4,100.0,5,0,20.0,1,4
HIMATSEIDE.csv,40.0,4,6,0.0,0,2,50.0,4,4
HINDALCO.csv,100.0,2,0,100.0,2,0,-1.0,-1,-1
HINDCOPPER.csv,80.0,4,1,66.67,2,1,100.0,2,0
HINDOILEXP.csv,16.67,1,5,-1,-1,-1,16.67,1,5
HINDPETRO.csv,66.67,2,1,66.67,2,1,-1.0,-1,-1
HINDUNILVR.csv,0.0,0,5,0.0,0,2,0.0,0,3
HINDZINC.csv,37.5,3,5,42.86,3,4,0.0,0,1
HMVL.csv,27.27,3,8,28.57,2,5,25.0,1,3
HONAUT.csv,25.0,2,6,0.0,0,2,33.33,2,4
HONDAPOWER.csv,20.0,2,8,16.67,1,5,25.0,1,3
HSIL.csv,14.29,1,6,16.67,1,5,0.0,0,1
HUDCO.csv,50.0,2,2,50.0,1,1,50.0,1,1
HUHTAMAKI.csv,42.86,6,8,0.0,0,1,46.15,6,7
IBULHSGFIN.csv,62.5,5,3,40.0,2,3,100.0,3,0
ICICIBANK.csv,45.45,5,6,66.67,4,2,20.0,1,4
ICICIGI.csv,42.86,3,4,0.0,0,1,50.0,3,3
ICICIPRULI.csv,22.22,2,7,0.0,0,3,33.33,2,4
IDBI.csv,54.55,6,5,66.67,6,3,0.0,0,2
IDEA.csv,38.46,5,8,16.67,1,5,57.14,4,3
IDFC.csv,66.67,4,2,66.67,4,2,-1.0,-1,-1
IDFCFIRSTB.csv,53.85,7,6,80.0,4,1,37.5,3,5
IEX.csv,23.08,3,10,50.0,2,2,11.11,1,8
IFBIND.csv,25.0,2,6,0.0,0,1,28.57,2,5
IGARASHI.csv,66.67,6,3,100.0,2,0,57.14,4,3
IGL.csv,27.27,3,8,0.0,0,3,37.5,3,5
IGPL.csv,30.0,3,7,50.0,1,1,25.0,2,6
IIFL.csv,33.33,3,6,37.5,3,5,0.0,0,1
IIFLWAM.csv,50.0,4,4,57.14,4,3,0.0,0,1
IMFA.csv,72.73,8,3,85.71,6,1,50.0,2,2
IMPAL.csv,11.11,1,8,100.0,1,0,0.0,0,8
INDHOTEL.csv,25.0,2,6,40.0,2,3,0.0,0,3
INDIAGLYCO.csv,27.27,3,8,20.0,2,8,100.0,1,0
INDIAMART.csv,16.67,1,5,20.0,1,4,0.0,0,1
INDIANB.csv,33.33,3,6,33.33,3,6,-1.0,-1,-1
INDIGO.csv,42.86,3,4,50.0,3,3,0.0,0,1
INDNIPPON.csv,35.71,5,9,27.27,3,8,66.67,2,1
INDOCO.csv,14.29,1,6,33.33,1,2,0.0,0,4
INDORAMA.csv,40.0,2,3,33.33,1,2,50.0,1,1
INDUSINDBK.csv,60.0,3,2,0.0,0,1,75.0,3,1
INDUSTOWER.csv,62.5,10,6,0.0,0,2,71.43,10,4
INEOSSTYRO.csv,30.0,3,7,0.0,0,2,37.5,3,5
INFIBEAM.csv,0.0,0,5,0.0,0,1,0.0,0,4
INFY.csv,40.0,4,6,50.0,4,4,0.0,0,2
INGERRAND.csv,54.55,6,5,50.0,4,4,66.67,2,1
INOXWIND.csv,50.0,4,4,25.0,1,3,75.0,3,1
IOB.csv,57.14,4,3,100.0,1,0,50.0,3,3
IOC.csv,0.0,0,3,0.0,0,2,0.0,0,1
IPCALAB.csv,0.0,0,13,0.0,0,4,0.0,0,9
IRCTC.csv,42.86,3,4,50.0,2,2,33.33,1,2
IRFC.csv,20.0,1,4,0.0,0,1,25.0,1,3
ITC.csv,28.57,2,5,50.0,2,2,0.0,0,3
ITDC.csv,33.33,2,4,40.0,2,3,0.0,0,1
ITI.csv,22.22,2,7,0.0,0,3,33.33,2,4
JAGRAN.csv,33.33,4,8,57.14,4,3,0.0,0,5
JAYBARMARU.csv,33.33,4,8,37.5,3,5,25.0,1,3
JBMA.csv,100.0,6,0,100.0,6,0,-1.0,-1,-1
JCHAC.csv,47.62,10,11,75.0,3,1,41.18,7,10
JINDALPOLY.csv,66.67,8,4,62.5,5,3,75.0,3,1
JINDALSTEL.csv,85.71,6,1,85.71,6,1,-1.0,-1,-1
JINDWORLD.csv,0.0,0,8,0.0,0,4,0.0,0,4
JISLDVREQS.csv,64.71,11,6,100.0,7,0,40.0,4,6
JKCEMENT.csv,30.0,3,7,25.0,1,3,33.33,2,4
JPASSOCIAT.csv,66.67,6,3,66.67,6,3,-1.0,-1,-1
JSL.csv,50.0,2,2,50.0,2,2,-1.0,-1,-1
JSLHISAR.csv,66.67,6,3,66.67,6,3,-1.0,-1,-1
